timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values0,values1,values2,values3,values4,values5,values6,values7,values8,values9,values10,values11,values12,values13,values14,values15,values16,values17,rc_failsafe,rc_lost,input_source,basestation,flight_number
236861338,236861338,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1815,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
236957123,236957123,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1815,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
237049069,237049069,18,255,0,0,0,1492,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1815,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
237158739,237158739,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1815,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
237270680,237270680,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1815,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
237359121,237359121,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1815,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
237474807,237474807,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1815,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
237566809,237566809,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1815,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
237682944,237682944,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1567,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
237774686,237774686,18,255,0,0,0,1492,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1489,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
237882694,237882694,18,255,0,0,0,1492,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1535,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
237971034,237971034,18,255,0,0,0,1492,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1489,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
238084333,238084333,18,255,0,0,0,1492,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1445,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
238192435,238192435,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1459,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
238284325,238284325,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1389,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
238392610,238392610,18,255,0,0,0,1492,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1445,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
238484413,238484413,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1445,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
238592631,238592631,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1474,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
238700280,238700280,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1504,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
238788290,238788290,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1489,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
238904525,238904525,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1519,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
238988553,238988553,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1519,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
239097926,239097926,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1504,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
