timestamp,rollspeed,pitchspeed,yawspeed,q0,q1,q2,q3,delta_q_reset0,delta_q_reset1,delta_q_reset2,delta_q_reset3,quat_reset_counter,basestation,flight_number
400388045,-0.048105907,-0.07693699,0.039819937,-0.76226616,-0.0089934105,0.051453024,-0.6451527,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
400489850,-0.039484974,-0.113548025,0.037685804,-0.76201016,-0.011548819,0.05357363,-0.6452418,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
400589671,0.095348425,0.39650366,0.002830983,-0.76210374,-0.0050843754,0.0467414,-0.64574564,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
400693665,-0.007730832,0.5166751,-0.07218679,-0.76251715,0.012203595,0.027886892,-0.6462516,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
400793854,-0.055337194,0.3513693,0.03820675,-0.76271135,0.026905544,0.009807414,-0.6461049,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
400893769,0.010058897,0.1918064,0.0147023285,-0.7632436,0.033359535,-0.00013197577,-0.645249,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
400997693,0.010930385,-0.1281227,-0.09792642,-0.764339,0.030483432,0.0030890524,-0.64408624,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
401097700,-0.07900955,0.088681035,0.06504988,-0.7648751,0.029185591,0.006640353,-0.64348286,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
401201718,-0.05878162,0.337326,0.075207636,-0.7647792,0.03870952,-0.0038763324,-0.64311695,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
401305683,0.032377288,0.15484767,0.03157277,-0.7643758,0.04944616,-0.01705849,-0.64264584,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
401406455,-0.022392904,0.1412559,0.05643206,-0.76418674,0.054162253,-0.023856726,-0.64227396,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
401507349,0.020231739,0.236164,-0.033035632,-0.76376855,0.0586071,-0.03018055,-0.6421153,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
401607240,0.025073545,0.39755306,0.014613867,-0.76261884,0.06824527,-0.041475784,-0.64189947,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
