timestamp,gyro_rad0,gyro_rad1,gyro_rad2,gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s20,accelerometer_m_s21,accelerometer_m_s22,accelerometer_integral_dt,basestation,flight_number
347472383,-0.1151248,-0.12903991,0.11972476,4000,0,-0.13895942,1.1843863,-9.294951,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
347576390,-0.06470312,-0.12233326,0.07172629,4004,0,-0.7670118,1.5335861,-9.870418,4004,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
347676413,0.0066243107,0.05512026,-0.081855126,4030,0,-0.12147326,0.16227187,-8.874053,4030,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
347780393,0.15776047,-0.03915535,-0.098942004,4010,0,-1.421743,0.66395044,-9.290232,4010,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
347880390,-0.048299335,-0.15476604,0.19624063,4007,0,-0.6006677,0.8988148,-9.467774,4007,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
347980383,0.041960754,0.094697855,-0.026728997,3993,0,0.17345722,1.0704933,-8.549027,3993,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
348084384,0.0036929797,0.03043969,-0.03842213,4000,0,-0.6746006,1.1254677,-8.822831,4000,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
348184384,-0.080185905,0.06629247,0.016074546,3958,0,0.2750833,0.39937568,-9.682587,3958,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
348284384,0.15806071,-0.091906704,0.04953679,4001,0,-0.16609494,0.57002985,-9.643673,4001,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
348388394,-0.054191973,-0.049091157,0.022179767,4010,0,0.23203047,0.9996488,-9.082273,4010,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
348489998,0.036872067,0.066787586,-0.10707756,4005,0,0.1214654,0.85892504,-8.955191,4005,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
