timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,basestation,flight_number
242747933,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
243753376,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
244762520,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
245766943,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
246786479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
247805556,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
248810476,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
249824564,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
250829843,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
251831453,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
252853376,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
253863494,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
254876638,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
255878479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
256885481,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
257900545,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
258914178,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
259915145,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
260925244,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
261926481,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
262936578,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
263945579,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
264962625,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
265972214,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
266974350,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
267993823,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
268997051,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
269997719,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
271008815,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
272014480,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
273014849,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
274021480,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
275026567,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
276027516,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
