timestamp,condition_calibration_enabled,condition_system_sensors_initialized,condition_system_hotplug_timeout,condition_system_returned_to_home,condition_auto_mission_available,condition_global_position_valid,condition_home_position_valid,condition_local_position_valid,condition_local_velocity_valid,condition_local_altitude_valid,condition_power_input_valid,condition_terrain_altitude_valid,circuit_breaker_engaged_power_check,circuit_breaker_engaged_airspd_check,circuit_breaker_engaged_enginefailure_check,circuit_breaker_engaged_gpsfailure_check,circuit_breaker_flight_termination_disabled,circuit_breaker_engaged_usb_check,circuit_breaker_engaged_posfailure_check,offboard_control_signal_found_once,offboard_control_signal_lost,offboard_control_set_by_command,offboard_control_loss_timeout,rc_signal_found_once,rc_input_blocked,vtol_transition_failure,usb_connected,terrain_estimate_found_once,basestation,flight_number
161774561,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
162775917,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
163786445,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
164787382,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
165790525,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
166794686,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
167801708,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
168813792,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
169821880,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
170828105,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
171837530,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
