timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d0,q_d1,q_d2,q_d3,thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps,basestation,flight_number
214943326,-0.15946075,-0.35769054,1.9240052,0.0,0.5725919,0.10064789,-0.1657047,0.7965869,0.5721897,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
215047371,-0.16325389,-0.3577068,1.9240091,0.0,0.57277995,0.09956868,-0.16721943,0.7962706,0.57366127,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
215149378,-0.15902346,-0.35773864,1.9240175,0.0,0.57256407,0.10079366,-0.16554308,0.796622,0.58063257,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
215249112,-0.15526077,-0.35608453,1.9240252,0.0,0.57240236,0.101199105,-0.16358896,0.79709023,0.5793544,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
215349559,-0.15328684,-0.35710526,1.9240333,0.0,0.5722789,0.10217945,-0.16308247,0.7971576,0.57755065,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
215453636,-0.15512845,-0.35995978,1.924038,0.0,0.572315,0.102812745,-0.16460073,0.79673815,0.5765161,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
215553018,-0.15795599,-0.36117724,1.9240414,0.0,0.572435,0.102498464,-0.16606113,0.7963893,0.5744182,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
215656971,-0.15155298,-0.36080465,1.9240432,0.0,0.5721109,0.10417938,-0.16340813,0.7969526,0.5753302,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
215757605,-0.15380593,-0.3603636,1.9240446,0.0,0.5722361,0.10335577,-0.16418448,0.79681045,0.5729117,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
215857026,-0.15263098,-0.36120692,1.9240426,0.0,0.57215893,0.10403438,-0.16394825,0.79682624,0.56951207,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
215960996,-0.1552125,-0.35943514,1.924044,0.0,0.57232726,0.102575995,-0.16448973,0.79678285,0.5730497,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
216061497,-0.15554506,-0.3587744,1.9240412,0.0,0.57235837,0.10221212,-0.16444081,0.79681724,0.57174414,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
216162556,-0.15598364,-0.35885456,1.9240375,0.0,0.5723807,0.10211889,-0.16463774,0.79677254,0.5711513,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
216263449,-0.15820368,-0.36106095,1.9240341,0.0,0.57245284,0.10237972,-0.16612817,0.7963777,0.57192826,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
216367761,-0.15868706,-0.3579236,1.9240347,0.0,0.5725368,0.10096655,-0.16545902,0.79663724,0.5739392,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
216471076,-0.1557827,-0.35329804,1.9240345,0.0,0.5724776,0.09991794,-0.16303031,0.7973123,0.5741636,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
216570615,-0.15743534,-0.35383993,1.9240366,0.0,0.57254916,0.09966531,-0.16383798,0.79712695,0.572037,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
216674657,-0.16084094,-0.35659334,1.9240354,0.0,0.57266915,0.09980929,-0.1659515,0.7965853,0.5742545,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
216775718,-0.15673256,-0.3539001,1.924036,0.0,0.5725132,0.09989089,-0.16357444,0.7971787,0.5722845,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
216879107,-0.16225863,-0.35641688,1.9240335,0.0,0.57274365,0.099331476,-0.16646779,0.7964839,0.57250583,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
216978962,-0.15825978,-0.35606682,1.9240334,0.0,0.5725505,0.10033416,-0.16477875,0.7968481,0.5706665,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
217080937,-0.16286357,-0.3606177,1.9240321,0.0,0.5726988,0.100865364,-0.16786173,0.7960305,0.57014525,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
217180121,-0.16139212,-0.36019632,1.9240344,0.0,0.5726313,0.10111566,-0.16716027,0.7961949,0.56981117,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
217284260,-0.16026238,-0.35919252,1.924041,0.0,0.5725902,0.10103176,-0.16643457,0.79638726,0.5686245,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
217384950,-0.16396633,-0.3611635,1.9240472,0.0,0.57273835,0.10077265,-0.16844961,0.7958898,0.5710168,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
217484173,-0.15953483,-0.35371095,1.9240557,0.0,0.5726482,0.09901335,-0.16463827,0.7969722,0.57185084,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
217588219,-0.15520757,-0.35841626,1.9240643,0.0,0.57233894,0.10216507,-0.16420673,0.7968855,0.57307816,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
217688694,-0.16030082,-0.3556817,1.924074,0.0,0.5726434,0.09959661,-0.16548403,0.7967277,0.57430387,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
217788121,-0.15612352,-0.35492247,1.924081,0.0,0.5724457,0.10048446,-0.16361053,0.7971451,0.5730886,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
217892182,-0.15104446,-0.3545679,1.9240974,0.0,0.57218915,0.101795115,-0.1614872,0.7975958,0.5696874,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
217992745,-0.15478742,-0.35666195,1.9241091,0.0,0.57233375,0.101576105,-0.16355482,0.79709876,0.5714559,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
218093753,-0.1533422,-0.35433093,1.9241151,0.0,0.5723033,0.101042785,-0.16233735,0.7974371,0.5726253,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
218197821,-0.14827953,-0.3562118,1.9241368,0.0,0.5719985,0.103257224,-0.16083492,0.7976765,0.57463086,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
218298267,-0.1501966,-0.35619426,1.9241498,0.0,0.57209235,0.10270281,-0.16159393,0.7975274,0.5697816,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
218397754,-0.15546517,-0.35537755,1.9241614,0.0,0.57237184,0.10086442,-0.1634692,0.7971792,0.5710635,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
218501760,-0.14376764,-0.3523258,1.9241732,0.0,0.5718321,0.10297115,-0.15796243,0.79840636,0.5691981,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
218603063,-0.1477882,-0.35873958,1.9241887,0.0,0.57189953,0.10442896,-0.16133189,0.7974946,0.57015765,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
218702057,-0.15001509,-0.35572413,1.9242029,0.0,0.5720713,0.102567956,-0.16138947,0.7976013,0.5716229,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
