timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy0,delta_xy1,delta_z,vx,vy,vz,z_deriv,delta_vxy0,delta_vxy1,delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid,limit_hagl,basestation,flight_number
160787296,13347301,29.3754284,-89.5490994,117.62044,-317.9296,-44.96451,0.002658458,0.0024949773,0.0,0.029405342,0.016614038,-0.025210395,0.0018980476,-0.025008326,-0.022564378,0.061152168,0.46911243,-0.37230077,0.36629328,-2.7294464,3.5881357,46.21947,0.025210395,0.19708233,0.14677626,0.12133414,0.048909187,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
160891410,13347301,29.3754284,-89.5490994,117.62178,-317.92905,-44.96266,0.002658458,0.0024949773,0.0,0.033341095,0.020092864,-0.03313243,-0.0044180714,-0.025008326,-0.022564378,0.061152168,0.20715483,0.69359505,-0.74926114,-2.729331,3.5881357,46.21762,0.03313243,0.1975993,0.14676343,0.121611714,0.04892725,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
160995273,13347301,29.3754284,-89.5490994,117.62329,-317.92795,-44.961353,0.002658458,0.0024949773,0.0,0.034177344,0.018499235,-0.031198617,-0.0012756705,-0.025008326,-0.022564378,0.061152168,0.31593245,-0.15812439,0.8873324,-2.7290027,3.5881357,46.216312,0.031198617,0.19787712,0.1467143,0.121718556,0.04891005,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
161095529,13347301,29.3754284,-89.5490994,117.62466,-317.92615,-44.961964,0.002658458,0.0024949773,0.0,0.034921836,0.018929569,-0.036846127,-0.007171335,-0.025008326,-0.022564378,0.061152168,-0.08806725,-0.3788706,0.092300236,-2.7295415,3.5881357,46.216923,0.036846127,0.19745502,0.1465466,0.12150278,0.04888341,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
161199341,13347301,29.3754284,-89.5490994,117.62627,-317.9245,-44.961586,0.002658458,0.0024949773,0.0,0.036283977,0.021781454,-0.042064507,-0.011385984,-0.025008326,-0.022564378,0.061152168,-0.42222136,-0.24423307,-0.81542134,-2.72958,3.5881357,46.216545,0.042064507,0.19779761,0.14649345,0.121667154,0.04886515,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
161299256,13347301,29.3754284,-89.5490994,117.62771,-317.9226,-44.958466,0.002658458,0.0024949773,0.0,0.038126603,0.022434363,-0.040160477,-0.0059486832,-0.025008326,-0.022564378,0.061152168,-0.17168464,0.33616364,0.72195834,-2.7291803,3.5881357,46.213425,0.040160477,0.19823235,0.14683528,0.12187068,0.04888018,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
161399313,13347301,29.3754284,-89.5490994,117.62979,-317.92047,-44.958508,0.002658458,0.0024949773,0.0,0.039855927,0.018218951,-0.042599257,-0.007827568,-0.025008326,-0.022564378,0.061152168,0.014558166,-1.0150303,0.8178475,-2.72959,3.5881357,46.213467,0.042599257,0.1979038,0.14666422,0.12171531,0.048854146,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
161503281,13347301,29.3754284,-89.5490994,117.63139,-317.91837,-44.95568,0.002658458,0.0024949773,0.0,0.041190114,0.018806154,-0.04715307,-0.008943839,-0.025008326,-0.022564378,0.061152168,0.11861704,0.29190102,-0.88615966,-2.7297242,3.5881357,46.21064,0.04715307,0.1982718,0.1466075,0.121888444,0.04883627,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
161603437,13347301,29.3754284,-89.5490994,117.63226,-317.91638,-44.95163,0.002658458,0.0024949773,0.0,0.038904265,0.019347852,-0.048606064,-0.006241109,-0.025008326,-0.022564378,0.061152168,-0.4919886,0.4762076,-0.69014394,-2.7298362,3.5881357,46.20659,0.048606064,0.19861002,0.14694563,0.12202081,0.04885113,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
161704973,13347301,29.3754284,-89.5490994,117.633224,-317.91476,-44.94844,0.002658458,0.0024949773,0.0,0.03828303,0.018675169,-0.050969206,-0.0053261966,-0.025008326,-0.022564378,0.061152168,-0.448891,-0.60726446,-0.15097769,-2.7304306,3.5881357,46.2034,0.050969206,0.19898164,0.14688736,0.1221824,0.04883373,0.0,1,1,1,1,2,0,2,2,1,1,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
