timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning,basestation,flight_number
66645769,29.375421395583952,-89.54909154962401,2.8492346,-0.0,0.088258915,0.007188041,-1.2209642,-1.6011018,0.5575533,1.0728083,2.3331766,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66745770,29.37542146889244,-89.54909154437266,2.941369,-0.0,0.09593483,0.008796156,-1.2647032,-1.6027917,0.5574835,1.0728412,2.3331766,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66849791,29.37542154635038,-89.54909153164503,3.0588326,-0.0,0.08323072,0.017440824,-1.3124473,-1.6034306,0.55766004,1.0728362,2.3331766,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
66949684,29.37542160374391,-89.54909150897326,3.1870632,-0.0,0.07420777,0.024596905,-1.3309557,-1.6021103,0.5578054,1.0728308,2.3331766,2,0,1,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67049804,29.375421662467343,-89.54909147877109,3.3254142,-0.0,0.08556979,0.026255773,-1.3419926,-1.6001037,0.5577246,1.0728092,0.0,2,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67153790,29.37542171558276,-89.5490914453026,3.4749832,-0.0,0.06657611,0.031903483,-1.3507681,-1.5975807,0.5578879,1.072804,0.0,2,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67253669,29.375421758224004,-89.54909141567678,3.624578,-0.0,0.06488492,0.024329523,-1.369817,-1.5957825,0.55803573,1.0727985,0.0,2,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67357793,29.37542180675576,-89.5490913881535,3.7812054,-0.0,0.058780115,0.016063128,-1.3848983,-1.5942734,0.55819,1.0727935,0.0,2,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67462614,29.375421845459805,-89.54909137811892,3.9438179,-0.0,0.045677535,0.0020155385,-1.3980693,-1.5940343,0.55835044,1.0728427,0.0,2,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
67563389,29.37542187231743,-89.54909137950972,4.1068983,-0.0,0.03200775,-0.0071384013,-1.4010135,-1.5941515,0.5582344,1.072821,0.0,2,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
