timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,lat_hp,lon_hp,alt_hp,alt_ellipsoid_hp,fix_type,vel_ned_valid,satellites_used,nav_pvt_flags,basestation,flight_number
265761116,1652271822899755,293754272,-895490857,19161,-7074,0.201,2.9592223,0.3144,0.6673,0.51,1.0,69,41,0.048,0.012,0.047000002,1.5230001,4.779052,-4323,,0.0,-26,45,0,4,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
265869559,1652271822999756,293754272,-895490856,19014,-7221,0.201,2.9149926,0.31419998,0.667,0.51,1.0,69,41,0.045,-0.020000001,0.040000003,1.4480001,4.779052,-3872,,0.0,-27,-17,-5,-1,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
265969569,1652271823099755,293754271,-895490856,18862,-7373,0.201,1.7274584,0.3141,0.6666,0.51,1.0,69,41,0.075,-0.038000003,0.065000005,1.5170001,4.779052,-4082,,0.0,45,32,-4,0,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
266061461,1652271823199755,293754271,-895490855,18705,-7529,0.2,3.0491595,0.3139,0.6663,0.51,1.0,69,41,0.041,0.034,0.023000002,1.5120001,4.779052,-3823,,0.0,42,-30,5,-1,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
266161687,1652271823299755,293754271,-895490855,18543,-7691,0.2,2.571623,0.3137,0.6659,0.51,1.0,69,41,0.041,-0.041,-0.003,1.514,4.779052,-4175,,0.0,30,-21,4,-2,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
266261454,1652271823399755,293754271,-895490855,18396,-7839,0.20400001,3.1415925,0.3136,0.66569996,0.51,1.0,69,41,0.021000002,-0.004,0.021000002,1.5020001,4.779052,-4460,,0.0,12,-22,-1,3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
266361596,1652271823499755,293754271,-895490855,18240,-7995,0.20400001,3.1415925,0.3134,0.6655,0.51,1.0,69,41,0.036000002,0.007,-0.036000002,1.5250001,4.779052,-4122,,0.0,12,-35,-2,2,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
266453467,1652271823599755,293754271,-895490856,18080,-8154,0.20400001,3.1415925,0.3132,0.6653,0.51,1.0,69,41,0.039,0.004,-0.039,1.5200001,4.779052,-3941,,0.0,12,24,4,-2,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
266557532,1652271823699755,293754271,-895490856,17924,-8311,0.20400001,3.1415925,0.31309998,0.6652,0.51,1.0,69,41,0.021000002,-0.020000001,0.006,1.5220001,4.779052,-3855,,0.0,1,3,-2,2,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
266660703,1652271823799755,293754271,-895490856,17761,-8473,0.20400001,3.1415925,0.313,0.6651,0.51,1.0,69,38,0.033,0.021000002,-0.026,1.582,4.779052,-3805,,0.0,-2,-11,4,-1,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
266758474,1652271823899755,293754271,-895490856,17600,-8635,0.20500001,3.1415925,0.3129,0.6649,0.51,1.0,69,38,0.034,-0.0050000004,-0.033,1.58,4.779052,-3918,,0.0,2,-46,1,5,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
266870449,1652271823999756,293754271,-895490857,17444,-8791,0.201,3.1415925,0.3128,0.66459996,0.51,1.0,69,38,0.028,0.001,-0.028,1.5180001,4.779052,-3889,,0.0,0,16,-4,0,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
266963092,1652271824099755,293754271,-895490857,17290,-8944,0.2,2.6685221,0.3127,0.66429996,0.51,1.0,69,38,0.042000003,0.034,-0.024,1.5200001,4.779052,-8023,,0.0,16,-18,3,-3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
267059480,1652271824199755,293754271,-895490858,17134,-9101,0.2,2.8159325,0.3125,0.664,0.51,1.0,69,38,0.048,-0.031000001,-0.036000002,1.491,4.779052,-3852,,0.0,14,45,-4,0,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
267159508,1652271824299755,293754271,-895490858,16990,-9244,0.19900002,3.1415925,0.31239998,0.66359997,0.51,1.0,69,38,0.032,-0.002,-0.032,1.414,4.779052,-4024,,0.0,5,2,5,-1,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
